8/27/2015,4,8
8/28/2015,5,8
8/29/2015,6,8
8/30/2015,7,8
8/31/2015,1,8
9/1/2015,2,9
9/2/2015,3,9
9/3/2015,4,9
9/4/2015,5,9
9/5/2015,6,9
9/6/2015,7,9
9/7/2015,1,9
9/8/2015,2,9
9/9/2015,3,9
9/10/2015,4,9
9/11/2015,5,9
9/12/2015,6,9
9/13/2015,7,9
9/14/2015,1,9
9/15/2015,2,9
9/16/2015,3,9
9/17/2015,4,9
9/18/2015,5,9
9/19/2015,6,9
9/20/2015,7,9
9/21/2015,1,9
9/22/2015,2,9
9/23/2015,3,9
9/24/2015,4,9
9/25/2015,5,9
9/26/2015,6,9
9/27/2015,7,9
9/28/2015,1,9
9/29/2015,2,9
9/30/2015,3,9
10/1/2015,4,10
10/2/2015,5,10
10/3/2015,6,10
10/4/2015,7,10
10/5/2015,1,10
10/6/2015,2,10
10/7/2015,3,10
10/8/2015,4,10
10/9/2015,5,10
10/10/2015,6,10
10/11/2015,7,10
10/12/2015,1,10
10/13/2015,2,10
10/14/2015,3,10
10/15/2015,4,10
10/16/2015,5,10
10/17/2015,6,10
10/18/2015,7,10
10/19/2015,1,10
10/20/2015,2,10
10/21/2015,3,10
10/22/2015,4,10
10/23/2015,5,10
10/24/2015,6,10
10/25/2015,7,10
10/26/2015,1,10
10/27/2015,2,10
10/28/2015,3,10
10/29/2015,4,10
10/30/2015,5,10
10/31/2015,6,10
11/1/2015,7,11
11/2/2015,1,11
11/3/2015,2,11
11/4/2015,3,11
11/5/2015,4,11
11/6/2015,5,11
11/7/2015,6,11
11/8/2015,7,11
11/9/2015,1,11
11/10/2015,2,11
11/11/2015,3,11
11/12/2015,4,11
11/13/2015,5,11
11/14/2015,6,11
11/15/2015,7,11
11/16/2015,1,11
11/17/2015,2,11
11/18/2015,3,11
11/19/2015,4,11
11/20/2015,5,11
11/21/2015,6,11
11/22/2015,7,11
11/23/2015,1,11
11/24/2015,2,11
11/25/2015,3,11
11/26/2015,4,11
11/27/2015,5,11
11/28/2015,6,11
11/29/2015,7,11
11/30/2015,1,11
12/1/2015,2,12
12/2/2015,3,12
12/3/2015,4,12
12/4/2015,5,12
12/5/2015,6,12
12/6/2015,7,12
12/7/2015,1,12
12/8/2015,2,12
12/9/2015,3,12
12/10/2015,4,12
12/11/2015,5,12
12/12/2015,6,12
12/13/2015,7,12
12/14/2015,1,12
12/15/2015,2,12
12/16/2015,3,12
12/17/2015,4,12
12/18/2015,5,12
12/19/2015,6,12
12/20/2015,7,12
12/21/2015,1,12
12/22/2015,2,12
12/23/2015,3,12
12/24/2015,4,12
